Date,Open,High,Low,Close,Adj Close,Volume
7/30/2008,13267.37012,13372.28027,13264.08008,13367.79004,13367.79004,109000000
7/31/2008,13410.40039,13467.66992,13256.37988,13376.80957,13376.80957,137000000
8/1/2008,13276.57031,13294.16992,13039.20996,13094.58984,13094.58984,135000000
8/4/2008,13083.28027,13113.94043,12910.16992,12933.17969,12933.17969,142000000
8/5/2008,12957.00977,13049.58008,12893.33984,12914.66016,12914.66016,144600000
8/6/2008,13059.42969,13295.50977,13048.96973,13254.88965,13254.88965,156300000
8/7/2008,13257.99023,13257.99023,13034.15039,13124.99023,13124.99023,135900000
8/8/2008,13026.53027,13259.73047,12962.82031,13168.41016,13168.41016,162300000
8/11/2008,13259.45996,13468.80957,13259.45996,13430.91016,13430.91016,113800000
8/12/2008,13397.99023,13420.09961,13276.15039,13303.59961,13303.59961,125200000
8/13/2008,13205.63965,13205.63965,12953.33984,13023.04981,13023.04981,125200000
8/14/2008,12942.61035,13090.67969,12926.98047,12956.79981,12956.79981,116400000
8/15/2008,12991.91016,13029.58008,12952.20996,13019.41016,13019.41016,94700000
8/18/2008,12971.49023,13270.37012,12934.21973,13165.4502,13165.4502,114100000
8/19/2008,13016.5,13016.5,12782.09961,12865.04981,12865.04981,103300000
8/20/2008,12753.98047,12923.66016,12753.98047,12851.69043,12851.69043,110400000
8/21/2008,12885.33984,12885.33984,12723.83008,12752.20996,12752.20996,105200000
8/22/2008,12727.37012,12732.69043,12631.94043,12666.04004,12666.04004,87900000
8/25/2008,12797.54004,12949.33008,12797.54004,12878.66016,12878.66016,86600000
8/26/2008,12711.03027,12801.20996,12656.08984,12778.70996,12778.70996,87100000
8/27/2008,12734.38965,12783.62988,12681.98047,12752.95996,12752.95996,86900000
8/28/2008,12827.71973,12847.45996,12718.53027,12768.25,12768.25,89700000
8/29/2008,12925.4502,13079.37012,12918.49023,13072.87012,13072.87012,120700000
9/1/2008,12936.80957,12940.54981,12834.17969,12834.17969,12834.17969,87500000
9/2/2008,12779.88965,12920.51953,12491.07031,12609.46973,12609.46973,126600000
9/3/2008,12703.36035,12767.5,12647.29004,12689.58984,12689.58984,129300000
9/4/2008,12627.63965,12660.57031,12514.25977,12557.66016,12557.66016,145200000
9/5/2008,12385.65039,12385.65039,12163.33008,12212.23047,12212.23047,155700000
9/8/2008,12359.92969,12671.75977,12352.34961,12624.45996,12624.45996,135100000
9/9/2008,12529.95996,12529.95996,12335.74023,12400.65039,12400.65039,119600000
9/10/2008,12249.13965,12404.66992,12159.96973,12346.62988,12346.62988,155200000
9/11/2008,12237.51953,12259.01953,12081.50977,12102.5,12102.5,131600000
9/12/2008,12256.78027,12277.57031,12059.08984,12214.75977,12214.75977,194600000
9/16/2008,12028.4502,12028.4502,11551.40039,11609.71973,11609.71973,184000000
9/17/2008,11737.62012,11880.03027,11708.7002,11749.79004,11749.79004,158100000
9/18/2008,11576.94043,11577.87988,11301.45996,11489.29981,11489.29981,163000000
9/19/2008,11631.59961,11920.86035,11615.2002,11920.86035,11920.86035,184700000
9/22/2008,12037.88965,12263.9502,12037.88965,12090.58984,12090.58984,150500000
9/24/2008,12031.98047,12115.03027,11904.59961,12115.03027,12115.03027,152600000
9/25/2008,11925.70996,12025.41016,11835.28027,12006.53027,12006.53027,113500000
9/26/2008,12026.33984,12082.63965,11788.73047,11893.16016,11893.16016,131400000
9/29/2008,11883.25,12062.66992,11721.04981,11743.61035,11743.61035,122500000
9/30/2008,11565.7002,11565.7002,11160.83008,11259.86035,11259.86035,165000000
